Nom,Type,Statut,Date,Heure,Port,Consignataire,Opérateur
TINA THERESA,CHIMIQUIER,EN RADE,04/08/2025,14:12,CARTAGENA,SOCONAV SARL,MARSA MAROC
HIZIR,VRAQUIER,A QUAI,04/08/2025,07:40,VARNA,TRADE NAV,MARSA MAROC
EPIC BORNEO,GAZIER,EN RADE,03/08/2025,03:37,"ALGECIRAS , HUELVA",MARITIME SHIP SERVICES,MARSA MAROC
CMA CGM DAKHLA,PORTE CONTENEUR,PREVU,19/08/2025,06:00,"TANGER MED , CASABLANCA",CMA-CGM-MAROC,SMA
ELI A,PORTE CONTENEUR,PREVU,15/08/2025,06:00,ALGECIRAS,AFRICA GLOBAL LOGISTICS & SHIPPING,MARSA MAROC
WAVEPOWER,TANKER,PREVU,11/08/2025,06:00,AGIO THEODOROI,CMA-CGM-MAROC,SMA
XT PEACE,TANKER,PREVU,09/08/2025,23:39,ALGECIRAS,PEREZ Y CIA MAROC,MARSA MAROC
TINA THERESA,CHIMIQUIER,PREVU,09/08/2025,12:00,JORF LASFAR,SEATRADE,MARSA MAROC
BREB COUNTESS,CONVENTIONEL,PREVU,09/08/2025,07:00,"WISMAR , CASABLANCA","BABORD MAROC ""BABMARSA""",SMA
CHALLAH,PETROLIER,PREVU,08/08/2025,12:59,MOHAMMEDIA,SEATRADE,MARSA MAROC
OCEAN TRADER,CONVENTIONEL,PREVU,08/08/2025,08:00,"HOLMSUND , CASABLANCA","BABORD MAROC ""BABMARSA""",SMA
WILHELM,PORTE CONTENEUR,PREVU,08/08/2025,06:00,ALGECIRAS,AFRICA GLOBAL LOGISTICS & SHIPPING,MARSA MAROC
SIGRID THERESA,TANKER,PREVU,07/08/2025,12:00,JORF LASFAR,SEATRADE,MARSA MAROC
SULTAN MOULAY ISMAIL,NAVIRE DE GUERRE,PREVU,06/08/2025,08:00,A ORDRE,AUTRE CONSIGNATAIRE,SMA
MSC TAERIM,PORTE CONTENEUR,A QUAI,06/08/2025,07:54,SINES,MEDITERRANEAN SHIPPING COMPANY,MARSA MAROC
CMA CGM NADOR,PORTE CONTENEUR,A QUAI,06/08/2025,06:39,"TANGER MED , CASABLANCA",CMA-CGM-MAROC,SMA
SENEGAL EXPRESS,FRIGORIFIQUE,PREVU,06/08/2025,06:21,"VADO LIGURE , GIBRALTAR , TARRAGONA",EOLIS MAROC LOGISTICS & SERVICE,SMA
NALINEE NAREE,VRAQUIER,A QUAI,05/08/2025,12:57,DESTREHAN,TRADE NAV,SOSIPO
ECO NICAL,GAZIER,A QUAI,04/08/2025,17:48,PORT-JÉRÔME,MARITIME SHIP SERVICES,MARSA MAROC
